filename,status,orientation,scene,location_visible,people_visible,permission_ok,recommended_use,alt_text_es,alt_text_en,notes
01-hot-air-balloon-over-segovia-landscape.jpg,selected,horizontal,balloon_landscape,partial,no,yes,editorial_hero,"Globo aerostatico sobre el paisaje de Segovia al amanecer","Hot air balloon over the Segovia landscape at sunrise","Buena para apertura visual de articulo."
02-segovia-cathedral-from-balloon.jpg,selected,vertical,cathedral_aerial,yes,no,yes,editorial_social,"Vista aerea de la Catedral de Segovia desde un globo aerostatico","Aerial view of Segovia Cathedral from a hot air balloon","Vertical potente para guias moviles y redes."
03-balloon-shadow-over-castilian-fields.jpg,selected,vertical,balloon_shadow,yes,no,yes,editorial_detail,"Sombra de un globo aerostatico sobre campos de Castilla","Hot air balloon shadow over Castilian fields","Imagen diferencial para explicar la experiencia desde el aire."
04-balloons-preparing-at-sunrise.jpg,selected,horizontal,balloons_preparation,no,no,yes,editorial_hero,"Globos aerostaticos preparandose al amanecer antes del vuelo","Hot air balloons preparing at sunrise before takeoff","Buena para experiencia/operativa al amanecer."
05-balloon-on-field-at-dawn.jpg,selected,vertical,balloon_dawn,no,no,yes,editorial_mood,"Globo aerostatico en el campo al amanecer en Segovia","Hot air balloon on a field at dawn in Segovia","Imagen atmosferica; usar como secundaria."
06-alcazar-of-segovia-aerial-view.jpg,selected,vertical,alcazar_aerial,yes,no,yes,editorial_landmark,"Vista aerea del Alcazar de Segovia durante un vuelo en globo","Aerial view of the Alcazar of Segovia during a hot air balloon flight","Muy fuerte para medios nacionales e internacionales."
07-balloon-over-segovia-cathedral-and-mountains.jpg,selected,vertical,cathedral_balloon,yes,no,yes,editorial_landmark,"Globo aerostatico sobre la Catedral de Segovia con la sierra al fondo","Hot air balloon over Segovia Cathedral with mountains in the background","Muy buena para mostrar icono + globo."
08-segovia-old-town-and-alcazar-from-air.jpg,selected,vertical,old_town_alcazar,yes,no,yes,editorial_landmark,"Casco historico de Segovia y Alcazar vistos desde el aire","Historic Segovia and the Alcazar seen from the air","Buena para guias de destino."
09-hot-air-balloon-over-wheat-field.jpg,selected,vertical,balloon_wheat_field,no,no,yes,editorial_mood,"Globo aerostatico volando sobre un campo de trigo cerca de Segovia","Hot air balloon flying over a wheat field near Segovia","Imagen limpia y poetica para experiencia premium."
10-segovia-cathedral-and-city-from-air.jpg,selected,vertical,cathedral_city_aerial,yes,no,yes,editorial_landmark,"Catedral y ciudad de Segovia vistas desde un globo aerostatico","Segovia Cathedral and city seen from a hot air balloon","Muy buena para articulos de escapada."
11-segovia-panoramic-aerial-view.jpg,selected,horizontal,panoramic_city,yes,no,yes,editorial_hero,"Panoramica aerea de Segovia durante un vuelo en globo","Panoramic aerial view of Segovia during a hot air balloon flight","Una de las mejores horizontales para hero."
12-passengers-view-from-balloon-basket.jpg,selected,vertical,basket_passengers,yes,yes,unknown,editorial_secondary,"Pasajeros contemplando Segovia desde la cesta de un globo","Passengers viewing Segovia from a hot air balloon basket","Usar solo si hay permiso de imagen o si no se identifican claramente."
13-balloon-over-cathedral-close-view.jpg,selected,vertical,cathedral_balloon_close,yes,no,yes,editorial_landmark,"Globo aerostatico sobre la Catedral de Segovia al amanecer","Hot air balloon over Segovia Cathedral at sunrise","Muy fuerte para envio a medios."
